Name,canon,dept,rank,cohort,POST_2010,delay_yrs,Fast,AI,AI_corr,PHD_from_FEBA,Scopus_all,log_scopus,gender,deg_strength,eigen,katz,in_giant,z_deg_strength,z_eigen,z_katz
д-р Стойко Митов,Стойко Митов,FA,Гл. ас.,2018.0,1,0.10403832991101986,1,1.0,1.0,YES,0.0,0.0,1.0,1.5,0.005343654087727078,0.1037810442004146,1,0.0,-0.4381515944557038,0.59352667168651
д-р Николай Кацарски,Николай Кацарски,FA,Гл. ас.,2017.0,1,1.2621492128678986,0,0.0,0.0,NO,10.0,2.3978952727983707,1.0,1.5,0.0,0.0600789539512594,0,0.0,-0.5045528620767835,-0.3236961785101579
д-р Марио Касабов,Марио Касабов,FA,Гл. ас.,2017.0,1,5.018480492813142,0,0.0,0.0,NO,0.0,0.0,1.0,1.5,0.0,0.045013420328787676,0,0.0,-0.5045528620767835,-0.6398927633910005
Велин Филипов,Велин Филипов,FA,Ас.,2029.0,1,-3.997262149212868,1,1.0,1.0,YES,0.0,0.0,1.0,0.0,0.0,0.02584757775482408,0,-1.5874507866387544,-0.5045528620767835,-1.042146949675634
Данаил Гушев,Данаил Гушев,FA,Ас.,2029.0,1,-3.997262149212868,1,1.0,1.0,YES,0.0,0.0,1.0,1.0,0.0,0.04496030708569643,0,-0.5291502622129182,-0.5045528620767835,-0.6410075082449331
д-р Марина Стефанова,Марина Стефанова,ESG,Доц.,2016.0,1,6.28062970568104,0,1.0,0.0,YES,6.0,1.9459101490553132,0.0,1.5,0.2487105205308135,0.166655049482329,1,0.0,2.585971629745084,1.9131311574026748
д.ик.н. Антон Герунов,Антон Антонов Герунов,ESG,Проф.,2015.0,1,-1.5852156057494866,1,1.0,1.0,YES,20.0,3.044522437723423,1.0,2.0,0.006775347798586325,0.10939359995955,1,0.5291502622129182,-0.4203610946056999,0.7113234260507112
д.ик.н. Соня Милева - Божанова,Соня Милева - Божанова,ESG,Проф.,2003.0,0,0.1943874058863792,1,0.0,0.0,NO,18.0,2.9444389791664403,0.0,1.5,0.0,0.045013420328787676,0,0.0,-0.5045528620767835,-0.6398927633910005
д-р Георги Менгов,Георги Димитров Менгов,ESG,Проф.,2001.0,0,4.142368240930869,0,0.0,0.0,NO,26.0,3.295836866004329,1.0,4.5,0.005937311683763964,0.14929438050262164,1,3.1749015732775088,-0.43077469163554033,1.5487640941316936
д-р Светлана Бялкова,Светлана Бялкова,ESG,Проф.,2008.0,0,16.199863107460644,0,0.0,0.0,NO,24.0,3.2188758248682006,0.0,1.5,0.0,0.04370978315500325,0,0.0,-0.5045528620767835,-0.6672536012214976
д-р Теодора Георгиева,Теодора Георгиева,ESG,Проф.,2004.0,0,17.9958932238193,0,0.0,0.0,NO,8.0,2.1972245773362196,0.0,1.5,0.0,0.045013420328787676,0,0.0,-0.5045528620767835,-0.6398927633910005
д-р Фантина Рангелова,Фантина Рангелова,ESG,Проф.,2004.0,0,20.5968514715948,0,0.0,0.0,NO,5.0,1.791759469228055,0.0,1.5,0.0,0.04370978315500325,0,0.0,-0.5045528620767835,-0.6672536012214976
д-р Атанас Георгиев - декан,Атанас Димитров Георгиев,ESG,Доц.,2016.0,1,-8.607802874743326,1,1.0,1.0,YES,13.0,2.6390573296152584,1.0,2.0,0.07191554959769543,0.12539541616335667,1,0.5291502622129182,0.38908351044237544,1.047170782163443
д-р Дияна Нетова,Дияна Нетова,ESG,Доц.,2010.0,1,-12.999315537303216,1,0.0,0.0,NO,1.0,0.6931471805599453,0.0,0.0,0.0,0.02584757775482408,0,-1.5874507866387544,-0.5045528620767835,-1.042146949675634
д-р Савина Михайлова-Големинова,Савина Михайлова-Големинова,ESG,Доц.,2014.0,1,6.48870636550308,0,0.0,0.0,NO,1.0,0.6931471805599453,0.0,0.0,0.0,0.02584757775482408,0,-1.5874507866387544,-0.5045528620767835,-1.042146949675634
д-р Десислава Калчева,Десислава Калчева,ESG,Доц.,2016.0,1,6.198494182067077,0,0.0,0.0,NO,0.0,0.0,0.0,1.0,0.0,0.03790555190174042,0,-0.5291502622129182,-0.5045528620767835,-0.7890732556811884
д-р Емил Митов,Емил Митов,ESG,Гл. ас.,2008.0,0,2.0369609856262834,0,0.0,0.0,NO,0.0,0.0,1.0,1.5,0.0,0.04370978315500325,0,0.0,-0.5045528620767835,-0.6672536012214976
д-р Ивайло Найденов,Ивайло Найденов,ESG,Гл. ас.,2018.0,1,7.789185489390828,0,0.0,0.0,NO,2.0,1.0986122886681098,1.0,1.5,0.0,0.04370978315500325,0,0.0,-0.5045528620767835,-0.6672536012214976
д-р Мария Трифонова,Мария Трифонова,ESG,Гл. ас.,2021.0,1,-2.7214236824093088,1,1.0,1.0,YES,4.0,1.6094379124341003,0.0,1.5,0.06365357044322757,0.08692260021232844,1,0.0,0.28641857743789817,0.23970034538322316
д-р Мартина Арабаджиева,Мартина Арабаджиева,ESG,Гл. ас.,2017.0,1,4.884325804243669,0,1.0,0.0,YES,7.0,2.0794415416798357,0.0,1.5,0.0013732473246569512,0.050768570954997205,1,0.0,-0.4874886281990881,-0.5191032169279435
д-р Петър Ташев,Петър Ташев,ESG,Гл. ас.,2017.0,1,4.511978097193703,0,1.0,0.0,YES,0.0,0.0,1.0,1.5,0.2487105205308135,0.16665504948232898,1,0.0,2.585971629745084,1.9131311574026744
д-р Рени Панчева,Рени Панчева,ESG,Ас.,2024.0,1,-0.06570841889117043,1,1.0,1.0,YES,3.0,1.3862943611198906,0.0,1.5,0.0034898018407416866,0.09073834591543081,1,0.0,-0.46118791700972916,0.31978551132086175
Васил Караиванов,Васил Караиванов,ESG,Ас.,,0,,0,1.0,1.0,YES,0.0,0.0,1.0,0.0,0.0,0.02584757775482408,0,-1.5874507866387544,-0.5045528620767835,-1.042146949675634
Доц. д-р Николай Нетов,Николай Чудомиров Нетов,Econometrics and statistics,Доц.,2015.0,1,-13.637234770704996,1,1.0,1.0,YES,14.0,2.70805020110221,1.0,2.0,0.03614337565747717,0.09783095511222702,1,0.5291502622129182,-0.05542836405333784,0.468645741706347
Проф. д.м.н. Иван Иванов,Иван Иванов,Econometrics and statistics,Проф.,1993.0,0,17.481177275838466,0,0.0,0.0,NO,98.0,4.59511985013459,1.0,1.5,0.0,0.04370978315500325,0,0.0,-0.5045528620767835,-0.6672536012214976
Проф. д-р Камен Спасов,Камен Спасов,Econometrics and statistics,Проф.,1992.0,0,26.529774127310063,0,0.0,0.0,NO,34.0,3.5553480614894135,1.0,1.5,0.0,0.04370978315500325,0,0.0,-0.5045528620767835,-0.6672536012214976
Проф. д-р Деян Радев,Деян Радев,Econometrics and statistics,Проф.,2013.0,1,6.5927446954141,0,0.0,0.0,NO,19.0,2.995732273553991,1.0,1.5,0.0,0.04370978315500325,0,0.0,-0.5045528620767835,-0.6672536012214976
Доц. д-р Ангел А. Марчев,Ангел А. Марчев,Econometrics and statistics,Доц.,2012.0,1,6.896646132785763,0,0.0,0.0,NO,27.0,3.332204510175204,1.0,1.5,0.0,0.046397209557966404,0,0.0,-0.5045528620767835,-0.6108496880226937
Доц. д-р Андрей Василев,Андрей Василев,Econometrics and statistics,Доц.,2008.0,0,14.154688569472963,0,0.0,0.0,NO,9.0,2.302585092994046,1.0,1.5,0.0,0.04370978315500325,0,0.0,-0.5045528620767835,-0.6672536012214976
Доц. д-р Боряна Пелова,Боряна Пелова,Econometrics and statistics,Доц.,2014.0,1,0.47091033538672145,1,1.0,1.0,YES,21.0,3.091042453358316,0.0,1.5,0.01722072844817342,0.06940823125401444,1,0.0,-0.2905647970664824,-0.12789258492635977
Доц. д-р Боян Ломев,Боян Михайлов Ломев,Econometrics and statistics,Доц.,2007.0,0,-11.84394250513347,1,1.0,1.0,YES,7.0,2.0794415416798357,1.0,2.0,0.015729383665754403,0.07252981472738489,1,0.5291502622129182,-0.30909653253943237,-0.062376549554870694
Доц. д-р Калоян Ганев,Калоян Ганев,Econometrics and statistics,Доц.,2007.0,0,5.71937029431896,0,1.0,0.0,YES,15.0,2.772588722239781,1.0,1.5,0.05957244284113797,0.11121129934811187,1,0.0,0.2357057053744684,0.7494734414040315
Доц. д-р Мариян Милев,Мариян Милев,Econometrics and statistics,Доц.,2009.0,0,13.623545516769337,0,0.0,0.0,NO,43.0,3.784189633918261,1.0,1.5,0.0,0.04370978315500325,0,0.0,-0.5045528620767835,-0.6672536012214976
Доц. д-р Радостин Вазов,Радостин Вазов,Econometrics and statistics,Доц.,2014.0,1,9.872689938398358,0,0.0,0.0,NO,11.0,2.4849066497880004,1.0,1.5,0.0,0.045013420328787676,0,0.0,-0.5045528620767835,-0.6398927633910005
Доц. д-р Ралица Симеонова-Ганева,Ралица Иванчева Симеонова-Ганева,Econometrics and statistics,Доц.,2007.0,0,-8.084873374401095,1,1.0,1.0,YES,16.0,2.833213344056216,0.0,2.5,0.06625100896653911,0.1338635085006593,1,1.0583005244258363,0.31869484526590663,1.224899759085764
Гл. ас. д-р Глория Христова,Глория Христова,Econometrics and statistics,Гл. ас.,2022.0,1,-1.0321697467488022,1,1.0,1.0,YES,9.0,2.302585092994046,0.0,1.5,0.0,0.0463972095579664,0,0.0,-0.5045528620767835,-0.6108496880226938
Гл. ас. д-р Деница Гаврилова,Деница Гаврилова,Econometrics and statistics,Гл. ас.,2017.0,1,6.039698836413415,0,1.0,0.0,YES,3.0,1.3862943611198906,0.0,1.5,0.09337115497826642,0.09467129700147749,1,0.0,0.6556949660977243,0.4023305929007421
Гл. ас. д-р Теодора Върбанова,Теодора Върбанова,Econometrics and statistics,Гл. ас.,2018.0,1,2.926762491444216,0,1.0,0.0,YES,0.0,0.0,0.0,1.5,0.008088349790154648,0.06093340015198666,1,0.0,-0.4040454807583554,-0.3057629955639276
Гл. ас. д-р Бойко Амаров,Бойко Амаров,Econometrics and statistics,Гл. ас.,2023.0,1,-5.867214236824093,1,1.0,1.0,YES,8.0,2.1972245773362196,1.0,1.5,0.017220728448173423,0.06940823125401445,1,0.0,-0.29056479706648236,-0.12789258492635946
Ас. Джеймс Осонду,Джеймс Осонду,nan,nan,,0,,0,,,,,,,0.0,0.0,0.02584757775482408,0,-1.5874507866387544,-0.5045528620767835,-1.042146949675634
